"order_id";"account_id";"bank_to";"account_to";"amount";"k_symbol"
29401;1;"YZ";"87144583";2452.00;"SIPO"
29402;2;"ST";"89597016";3372.70;"UVER"
29403;2;"QR";"13943797";7266.00;"SIPO"
29404;3;"WX";"83084338";1135.00;"SIPO"
29405;3;"CD";"24485939";327.00;" "
29406;3;"AB";"59972357";3539.00;"POJISTNE"
29407;4;"UV";"26693541";2078.00;"SIPO"
29408;4;"UV";"5848086";1285.00;"SIPO"
29409;5;"GH";"37390208";2668.00;"SIPO"
29410;6;"AB";"44486999";3954.00;"SIPO"
29411;7;"IJ";"34452903";4880.00;"SIPO"
29412;8;"UV";"12510681";2612.00;"SIPO"
29413;8;"IJ";"93210345";6712.00;" "
29414;10;"UV";"18686104";7033.00;"SIPO"
29415;10;"QR";"93182509";1344.00;"LEASING"
29416;11;"ST";"38470870";2132.00;"SIPO"
29417;12;"CD";"23010808";297.00;"SIPO"
29418;12;"KL";"63607060";3295.00;"SIPO"
29419;13;"EF";"35443323";2444.00;"SIPO"
29420;14;"WX";"11793136";3629.00;"SIPO"
29421;15;"KL";"24265569";3072.00;"SIPO"
29422;17;"EF";"15076423";4032.00;"SIPO"
29423;19;"QR";"14132368";2523.20;"UVER"
29425;20;"AB";"3399968";2003.00;"SIPO"
29426;21;"YZ";"60152441";6276.00;"SIPO"
29427;22;"ST";"34691494";6352.00;"SIPO"
29428;23;"MN";"20774019";5807.00;"SIPO"
29429;24;"IJ";"50810194";221.00;"SIPO"
29430;24;"QR";"46086388";7641.00;" "
29431;25;"YZ";"1301700";2523.20;"UVER"
29432;25;"IJ";"4896235";6817.00;"SIPO"
29433;25;"AB";"79838293";1110.00;" "
29434;25;"WX";"52864879";164.00;"POJISTNE"
29435;26;"EF";"12891853";10387.00;"SIPO"
29436;27;"CD";"28175699";4054.00;"SIPO"
29439;29;"ST";"32924878";6871.00;"SIPO"
29440;29;"MN";"93088209";829.00;" "
29441;29;"UV";"41335338";8.00;"POJISTNE"
29442;30;"EF";"66168540";2480.20;"LEASING"
29443;31;"ST";"42430687";10202.00;"SIPO"
29444;33;"KL";"33047658";3892.00;"SIPO"
29445;34;"WX";"21845197";1479.00;"LEASING"
29446;34;"GH";"19993174";502.00;"SIPO"
29447;34;"IJ";"58999049";6070.00;" "
29448;35;"MN";"56788617";1022.00;"SIPO"
29449;35;"MN";"99848401";1362.00;"SIPO"
29450;36;"CD";"80693810";4069.00;"SIPO"
29451;37;"QR";"71644407";5307.50;"UVER"
29452;37;"IJ";"29728555";2317.00;"SIPO"
29453;37;"OP";"23782724";2584.00;" "
29454;37;"YZ";"89609831";97.00;"POJISTNE"
